sim_time_hours,hour,occupied,outdoor_temp_c,carbon_gco2_kwh,price_usd_kwh,heating_sp_c,cooling_sp_c,source,latency_ms,rationale
4344.167,0.17,False,26.9,378.0,0.08,15.6,28.0,llm,8789.7,It is a weekend and the building is unoccupied.
4344.5,0.5,False,26.3,378.9,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4344.833,0.83,False,25.7,379.4,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4345.167,1.17,False,25.4,379.4,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4345.5,1.5,False,25.5,378.9,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4345.833,1.83,False,25.6,378.0,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4346.167,2.17,False,25.7,376.5,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4346.5,2.5,False,25.8,374.6,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4346.833,2.83,False,25.8,372.2,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4347.167,3.17,False,25.9,369.4,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4347.5,3.5,False,26.0,366.1,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4347.833,3.83,False,26.1,362.5,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4348.167,4.17,False,26.0,358.5,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4348.5,4.5,False,25.9,354.2,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4348.833,4.83,False,25.7,349.5,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4349.167,5.17,False,25.6,344.6,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4349.5,5.5,False,25.6,339.5,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4349.833,5.83,False,25.6,334.2,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
4350.167,6.17,False,25.9,328.8,0.08,15.6,28.0,llm,0.0,(cached) It is a weekend and the building is unoccupied.
