step,sim_time_hours,day_of_year,hour,is_weekend,outdoor_temp_c,occupied,occupants,mean_air_temp_c,max_abs_pmv,interval_elec_kwh,interval_hvac_kwh,interval_cool_kwh,interval_gas_kwh,cum_elec_kwh,carbon_gco2_kwh,price_usd_kwh,interval_cost_usd,interval_carbon_kg,CORE_ZN_temp,CORE_ZN_pmv,CORE_ZN_htgsp,CORE_ZN_clgsp,CORE_ZN_occ,PERIMETER_ZN_1_temp,PERIMETER_ZN_1_pmv,PERIMETER_ZN_1_htgsp,PERIMETER_ZN_1_clgsp,PERIMETER_ZN_1_occ,PERIMETER_ZN_2_temp,PERIMETER_ZN_2_pmv,PERIMETER_ZN_2_htgsp,PERIMETER_ZN_2_clgsp,PERIMETER_ZN_2_occ,PERIMETER_ZN_3_temp,PERIMETER_ZN_3_pmv,PERIMETER_ZN_3_htgsp,PERIMETER_ZN_3_clgsp,PERIMETER_ZN_3_occ,PERIMETER_ZN_4_temp,PERIMETER_ZN_4_pmv,PERIMETER_ZN_4_htgsp,PERIMETER_ZN_4_clgsp,PERIMETER_ZN_4_occ
1,4344.25,182,0.25,True,26.9,False,0.0,27.021,0.0,0.320836,0.0,0.0,0.003333,0.3208,378.3,0.08,0.025667,0.121372,26.53,0.587,15.6,28.0,0.0,26.99,0.676,15.6,28.0,0.0,27.03,0.624,15.6,28.0,0.0,27.08,0.697,15.6,28.0,0.0,27.5,0.715,15.6,28.0,0.0
2,4344.3333,182,0.333,True,26.6,False,0.0,27.032,0.0,0.320836,0.0,0.0,0.003333,0.6417,378.5,0.08,0.025667,0.121437,26.5,0.583,15.6,28.0,0.0,26.96,0.673,15.6,28.0,0.0,27.21,0.665,15.6,28.0,0.0,27.05,0.694,15.6,28.0,0.0,27.44,0.714,15.6,28.0,0.0
3,4344.5,182,0.5,True,26.3,False,0.0,27.018,0.0,0.320836,0.0,0.0,0.003333,0.9625,378.9,0.08,0.025667,0.121565,26.48,0.579,15.6,28.0,0.0,26.93,0.669,15.6,28.0,0.0,27.24,0.677,15.6,28.0,0.0,27.02,0.691,15.6,28.0,0.0,27.42,0.718,15.6,28.0,0.0
4,4344.6667,182,0.667,True,26.0,False,0.0,26.996,0.0,0.320836,0.0,0.0,0.003333,1.2833,379.3,0.08,0.025667,0.121693,26.45,0.575,15.6,28.0,0.0,26.9,0.665,15.6,28.0,0.0,27.23,0.683,15.6,28.0,0.0,27.0,0.688,15.6,28.0,0.0,27.4,0.723,15.6,28.0,0.0
5,4344.8333,182,0.833,True,25.7,False,0.0,26.971,0.0,0.320836,0.0,0.0,0.003333,1.6042,379.4,0.08,0.025667,0.121725,26.43,0.571,15.6,28.0,0.0,26.87,0.66,15.6,28.0,0.0,27.21,0.686,15.6,28.0,0.0,26.97,0.685,15.6,28.0,0.0,27.38,0.726,15.6,28.0,0.0
6,4345.0,182,1.0,True,25.4,False,0.0,26.943,0.0,0.320836,0.0,0.0,0.003333,1.925,379.5,0.08,0.025667,0.121757,26.4,0.567,15.6,28.0,0.0,26.83,0.655,15.6,28.0,0.0,27.19,0.688,15.6,28.0,0.0,26.94,0.681,15.6,28.0,0.0,27.35,0.728,15.6,28.0,0.0
7,4345.1667,182,1.167,True,25.43,False,0.0,26.928,0.0,0.320836,0.0,0.0,0.003333,2.2459,379.4,0.08,0.025667,0.121725,26.39,0.564,15.6,28.0,0.0,26.82,0.653,15.6,28.0,0.0,27.18,0.692,15.6,28.0,0.0,26.92,0.679,15.6,28.0,0.0,27.34,0.733,15.6,28.0,0.0
8,4345.3333,182,1.333,True,25.47,False,0.0,26.918,0.0,0.320836,0.0,0.0,0.003333,2.5667,379.3,0.08,0.025667,0.121693,26.38,0.563,15.6,28.0,0.0,26.8,0.651,15.6,28.0,0.0,27.17,0.696,15.6,28.0,0.0,26.91,0.679,15.6,28.0,0.0,27.33,0.737,15.6,28.0,0.0
9,4345.5,182,1.5,True,25.5,False,0.0,26.909,0.0,0.320836,0.0,0.0,0.003333,2.8875,378.9,0.08,0.025667,0.121565,26.37,0.562,15.6,28.0,0.0,26.79,0.65,15.6,28.0,0.0,27.16,0.7,15.6,28.0,0.0,26.9,0.678,15.6,28.0,0.0,27.32,0.742,15.6,28.0,0.0
10,4345.6667,182,1.667,True,25.53,False,0.0,26.901,0.0,0.320836,0.0,0.0,0.436401,3.2084,378.5,0.08,0.025667,0.121437,26.37,0.561,15.6,28.0,0.0,26.78,0.649,15.6,28.0,0.0,27.15,0.704,15.6,28.0,0.0,26.89,0.678,15.6,28.0,0.0,27.31,0.746,15.6,28.0,0.0
