step,sim_time_hours,day_of_year,hour,is_weekend,outdoor_temp_c,occupied,occupants,mean_air_temp_c,max_abs_pmv,interval_elec_kwh,interval_hvac_kwh,interval_cool_kwh,interval_gas_kwh,cum_elec_kwh,carbon_gco2_kwh,price_usd_kwh,interval_cost_usd,interval_carbon_kg,CORE_ZN_temp,CORE_ZN_pmv,CORE_ZN_htgsp,CORE_ZN_clgsp,CORE_ZN_occ,PERIMETER_ZN_1_temp,PERIMETER_ZN_1_pmv,PERIMETER_ZN_1_htgsp,PERIMETER_ZN_1_clgsp,PERIMETER_ZN_1_occ,PERIMETER_ZN_2_temp,PERIMETER_ZN_2_pmv,PERIMETER_ZN_2_htgsp,PERIMETER_ZN_2_clgsp,PERIMETER_ZN_2_occ,PERIMETER_ZN_3_temp,PERIMETER_ZN_3_pmv,PERIMETER_ZN_3_htgsp,PERIMETER_ZN_3_clgsp,PERIMETER_ZN_3_occ,PERIMETER_ZN_4_temp,PERIMETER_ZN_4_pmv,PERIMETER_ZN_4_htgsp,PERIMETER_ZN_4_clgsp,PERIMETER_ZN_4_occ
1,4344.2222,182,0.222,True,26.9,False,0.0,26.864,0.0,0.441266,0.12043,0.055461,0.003333,0.4413,378.2,0.08,0.035301,0.166887,26.53,0.587,15.6,26.7,0.0,26.99,0.677,15.6,26.7,0.0,27.0,0.619,15.6,26.7,0.0,27.08,0.697,15.6,26.7,0.0,26.73,0.585,15.6,26.7,0.0
2,4344.3333,182,0.333,True,26.6,False,0.0,26.884,0.0,0.42492,0.104083,0.039115,0.003333,0.8662,378.5,0.08,0.033994,0.160832,26.5,0.583,15.6,26.7,0.0,26.96,0.672,15.6,26.7,0.0,27.21,0.665,15.6,26.7,0.0,27.05,0.694,15.6,26.7,0.0,26.7,0.562,15.6,26.7,0.0
3,4344.5833,182,0.583,True,26.3,False,0.0,26.782,0.0,0.532636,0.211799,0.081872,0.003333,1.3988,379.1,0.08,0.042611,0.201922,26.48,0.58,15.6,26.7,0.0,26.93,0.67,15.6,26.7,0.0,26.76,0.593,15.6,26.7,0.0,27.03,0.692,15.6,26.7,0.0,26.7,0.555,15.6,26.7,0.0
4,4344.75,182,0.75,True,26.0,False,0.0,26.82,0.0,0.420997,0.10016,0.035202,0.003333,1.8198,379.4,0.08,0.03368,0.159726,26.46,0.576,15.6,26.7,0.0,26.9,0.665,15.6,26.7,0.0,26.71,0.571,15.6,26.7,0.0,27.0,0.689,15.6,26.7,0.0,27.02,0.607,15.6,26.7,0.0
5,4344.8333,182,0.833,True,25.7,False,0.0,26.835,0.0,0.418754,0.097917,0.032959,0.003333,2.2386,379.4,0.08,0.0335,0.158875,26.43,0.57,15.6,26.7,0.0,26.87,0.659,15.6,26.7,0.0,26.7,0.562,15.6,26.7,0.0,26.97,0.684,15.6,26.7,0.0,27.21,0.652,15.6,26.7,0.0
6,4345.0833,182,1.083,True,25.4,False,0.0,26.773,0.0,0.4286,0.107763,0.042795,0.003333,2.6672,379.5,0.08,0.034288,0.162654,26.4,0.566,15.6,26.7,0.0,26.84,0.655,15.6,26.7,0.0,26.92,0.598,15.6,26.7,0.0,26.94,0.681,15.6,26.7,0.0,26.76,0.582,15.6,26.7,0.0
7,4345.1667,182,1.167,True,25.43,False,0.0,26.776,0.0,0.420809,0.099973,0.035004,0.003333,3.088,379.4,0.08,0.033665,0.159655,26.38,0.563,15.6,26.7,0.0,26.81,0.651,15.6,26.7,0.0,27.06,0.632,15.6,26.7,0.0,26.92,0.678,15.6,26.7,0.0,26.71,0.562,15.6,26.7,0.0
8,4345.3333,182,1.333,True,25.47,False,0.0,26.775,0.0,0.419851,0.099014,0.034046,0.003333,3.5078,379.3,0.08,0.033588,0.159249,26.37,0.561,15.6,26.7,0.0,26.8,0.65,15.6,26.7,0.0,27.09,0.646,15.6,26.7,0.0,26.91,0.677,15.6,26.7,0.0,26.7,0.556,15.6,26.7,0.0
9,4345.5833,182,1.583,True,25.5,False,0.0,26.825,0.0,0.320836,0.0,0.0,0.003333,3.8287,378.7,0.08,0.025667,0.121501,26.37,0.56,15.6,26.7,0.0,26.79,0.649,15.6,26.7,0.0,27.1,0.655,15.6,26.7,0.0,26.9,0.677,15.6,26.7,0.0,26.97,0.601,15.6,26.7,0.0
10,4345.6667,182,1.667,True,25.53,False,0.0,26.853,0.0,0.320836,0.0,0.0,0.436401,4.1495,378.5,0.08,0.025667,0.121437,26.36,0.559,15.6,26.7,0.0,26.77,0.647,15.6,26.7,0.0,27.11,0.663,15.6,26.7,0.0,26.88,0.676,15.6,26.7,0.0,27.14,0.641,15.6,26.7,0.0
11,4345.8333,182,1.833,True,25.57,False,0.0,26.857,0.0,0.320836,0.0,0.0,0.003333,4.4703,378.0,0.08,0.025667,0.121276,26.36,0.559,15.6,26.7,0.0,26.76,0.647,15.6,26.7,0.0,27.11,0.669,15.6,26.7,0.0,26.88,0.676,15.6,26.7,0.0,27.18,0.658,15.6,26.7,0.0
12,4346.0,182,2.0,True,25.6,False,0.0,26.854,0.0,0.320836,0.0,0.0,0.003333,4.7912,377.3,0.08,0.025667,0.121052,26.35,0.558,15.6,26.7,0.0,26.75,0.646,15.6,26.7,0.0,27.1,0.674,15.6,26.7,0.0,26.87,0.676,15.6,26.7,0.0,27.2,0.67,15.6,26.7,0.0
13,4346.1667,182,2.167,True,25.65,False,0.0,26.851,0.0,0.320836,0.0,0.0,0.003333,5.112,376.5,0.08,0.025667,0.120795,26.35,0.558,15.6,26.7,0.0,26.74,0.645,15.6,26.7,0.0,27.1,0.68,15.6,26.7,0.0,26.86,0.676,15.6,26.7,0.0,27.21,0.68,15.6,26.7,0.0
14,4346.4167,182,2.417,True,25.7,False,0.0,26.759,0.0,0.430888,0.110052,0.045083,0.003333,5.5429,375.1,0.08,0.034471,0.161626,26.35,0.558,15.6,26.7,0.0,26.74,0.646,15.6,26.7,0.0,27.09,0.685,15.6,26.7,0.0,26.85,0.676,15.6,26.7,0.0,26.76,0.607,15.6,26.7,0.0
15,4346.5,182,2.5,True,25.75,False,0.0,26.743,0.0,0.421638,0.100802,0.035833,0.003333,5.9645,374.6,0.08,0.033731,0.157946,26.35,0.559,15.6,26.7,0.0,26.73,0.646,15.6,26.7,0.0,27.09,0.69,15.6,26.7,0.0,26.84,0.677,15.6,26.7,0.0,26.71,0.585,15.6,26.7,0.0
16,4346.6667,182,2.667,True,25.8,False,0.0,26.738,0.0,0.420562,0.099726,0.034757,0.003333,6.3851,373.4,0.08,0.033645,0.157038,26.34,0.56,15.6,26.7,0.0,26.72,0.646,15.6,26.7,0.0,27.08,0.695,15.6,26.7,0.0,26.84,0.677,15.6,26.7,0.0,26.7,0.577,15.6,26.7,0.0
17,4346.8333,182,2.833,True,25.85,False,0.0,26.792,0.0,0.320836,0.0,0.0,0.003333,6.7059,372.2,0.08,0.025667,0.119415,26.34,0.561,15.6,26.7,0.0,26.72,0.647,15.6,26.7,0.0,27.08,0.699,15.6,26.7,0.0,26.83,0.678,15.6,26.7,0.0,26.99,0.628,15.6,26.7,0.0
18,4347.0,182,3.0,True,25.9,False,0.0,26.808,0.0,0.320836,0.0,0.0,0.003333,7.0268,370.8,0.08,0.025667,0.118966,26.34,0.562,15.6,26.7,0.0,26.71,0.647,15.6,26.7,0.0,27.07,0.704,15.6,26.7,0.0,26.82,0.679,15.6,26.7,0.0,27.09,0.655,15.6,26.7,0.0
19,4347.1667,182,3.167,True,25.93,False,0.0,26.812,0.0,0.320836,0.0,0.0,0.436388,7.3476,369.4,0.08,0.025667,0.118517,26.34,0.563,15.6,26.7,0.0,26.7,0.649,15.6,26.7,0.0,27.07,0.709,15.6,26.7,0.0,26.82,0.681,15.6,26.7,0.0,27.13,0.671,15.6,26.7,0.0
20,4347.3333,182,3.333,True,25.97,False,0.0,26.812,0.0,0.320836,0.0,0.0,0.003333,7.6684,367.8,0.08,0.025667,0.118004,26.33,0.563,15.6,26.7,0.0,26.7,0.65,15.6,26.7,0.0,27.06,0.713,15.6,26.7,0.0,26.81,0.682,15.6,26.7,0.0,27.14,0.683,15.6,26.7,0.0
21,4347.5,182,3.5,True,26.0,False,0.0,26.81,0.0,0.320836,0.0,0.0,0.003333,7.9893,366.1,0.08,0.025667,0.117458,26.33,0.564,15.6,26.7,0.0,26.7,0.651,15.6,26.7,0.0,27.06,0.717,15.6,26.7,0.0,26.81,0.683,15.6,26.7,0.0,27.15,0.692,15.6,26.7,0.0
22,4347.6667,182,3.667,True,26.03,False,0.0,26.807,0.0,0.320836,0.0,0.0,0.003333,8.3101,364.4,0.08,0.025667,0.116913,26.33,0.564,15.6,26.7,0.0,26.69,0.653,15.6,26.7,0.0,27.06,0.721,15.6,26.7,0.0,26.81,0.684,15.6,26.7,0.0,27.15,0.7,15.6,26.7,0.0
